userid	birthdate	sex
51085314	6.3.1994	2
160633863	20.3.1997	1
192485131		1
34581514	21.3.1993	2
70544396	7.11	1
95597582	6.9	2
108145680	6.12	2
3680260	15.10.1988	2
5312539	10.8	2
110262303	1.8.1998	1
50202657		1
42198053	14.8.1982	2
79437148	27.7	1
44207154	2.12.1995	1
41371703	30.1	1
65003577	26.6.1992	1
140317754	1.4	2
16129083	14.1	1
87917628	14.3	1
84095038	7.2	1
14485567	24.3	1
29954116	27.9	1
58406981	8.9	2
1714700	12.1.1989	1
98211916	25.12.1995	2
133296205	21.10	2
151553111	27.4	2
113639513	5.11	1
12478554	13.2	1
35841119	13.5	1
14526561	8.4	1
100099174	25.2	1
156632169	17.1	1
137981035	3.8.1999	2
23233647	23.1.1989	1
38000755	29.10.1994	1
37553268	5.8.1993	2
33805839	16.1	1
31039609	26.6	1
12682365	18.2.1989	2
129420430	6.8.1992	1
43452560	17.6	1
96388291	26.6	2
50968724	24.3	2
322686106	11.11.1993	2
108724384	5.9	1
134631586	22.3	1
40289307	27.5	2
2261156	17.8.1989	2
127938725	3.8.1985	2
109315239	23.7	2
20305065	26.8.1992	1
138361002	18.5	1
116364463		2
63885488	15.1.1991	1
14087450	22.7	1
246896671		1
103923573	13.7.1992	1
142595265	16.1.1994	2
90307779	22.7.1976	2
23083170	10.12.1994	1
147515596	22.9.1997	2
78736593	7.9	1
89751765	4.3.1988	2
172887270	8.1	1
242996459	6.11	1
57273584	25.6	2
91147729	19.3.1990	2
147115253	29.6.1988	1
160597239	21.11	1
157787860	29.1	2
23223679	3.10.1990	2
82498812	12.4	1
22442241	24.9	1
17126661	29.10	2
136428807	22.4.1988	1
145440013	7.10.1999	1
69243153	20.11	1
51402008	16.9	1
69419289		2
9098522		2
33322269	18.4.1992	1
149096738		1
54165795	9.3	1
84076841	2.1.1989	1
33443121	5.12	1
94132787	10.10	2
79162680	21.3	1
5823804	25.6.1987	1
99508545	3.2	1
118180162	23.8	2
16963907	4.5	1
42727754	14.11.1998	1
22765904	19.6	2
29719893		1
22552924	8.1.1990	1
39558495	25.5	1
94303592	2.8	1
31198569	18.8.1993	2
32183746		2
22075769	9.4.1983	1
249010239	9.1	2
173612418	30.11	1
9002245	8.8	1
138591621	7.6	1
278871430	5.9.1987	1
49563016	12.10	1
58428817	16.4.1989	1
81124754	4.8	2
87304595	13.2	1
54559125	27.4.1992	1
10520982	24.3.1990	1
75096471	7.2	1
20393370	17.12.1969	1
17070492	4.10	1
110519194	1.6.1988	2
33347998	5.9.1992	2
324132256		2
76320163	9.8.1997	1
111494566	2.3.1992	2
6754727	15.5	1
279810473		2
135864747	2.2.1995	1
41895341		1
42620896	29.10	2
31941047	26.5	2
70218170	27.5	2
170895804	28.6.1982	2
4368832	7.12	2
12952002	25.11.1991	2
140058053	4.7	2
105541064	29.7.1996	1
128317949		2
118750667		1
14491086	25.4.1988	2
77322317	15.8	2
70338001	8.2	2
9870802	2.5.1991	1
244847059	5.6	2
132994521	9.10	2
95195611	31.12.1990	1
143298013	19.6.1994	1
65552863		1
104112611	19.7.1996	2
120431452	26.3	2
232767578	19.6.1992	1
138272235	30.4.1996	2
128924154	24.9	1
66469371	15.3.1996	1
35844604	10.1.1993	1
59382273	12.10	1
2568	31.1	1
40831499	22.4.1993	1
62472716	20.12.1991	1
352907789	2.5.1997	2
132401678	5.1.1945	2
200038927	3.3	2
14238224	14.10	1
29771287	17.10	2
34055707	30.4.1995	2
103258653	24.7	1
48151301	6.9.1997	1
95962658	4.3.1995	2
186489265		1
53757487	30.11	2
83668528	8.5.1995	2
123280947	26.7	2
103618102	24.6	2
167802425	3.3	2
175617599	9.6	2
51287616	10.7.1994	1
150708802	6.5	1
15350339	25.8	1
84137057	18.5.1995	1
141018698	26.12.1996	2
41147987	19.2.1991	1
64409529	17.3.1987	1
43336281	8.2	2
1110619	28.4.1990	1
121554524	6.4.1996	2
58319453	17.11.1989	1
13733989	9.2.1987	1
78492257	13.8.1997	2
102308450	12.9	2
256890467	30.3.1999	1
100237073		2
20241004	26.3.1992	1
158908829	26.6	2
34736215	28.12	1
114296445	16.12.1997	2
21185984	16.5	1
129814146	15.2	2
60543626	21.10.1997	2
92111298	14.3	1
100957839	1.11.1991	1
58031766		1
186969752	7.9	2
19037124		2
